timestamp,esp1,esp1_vib,esp2,esp2_vib
2025-09-14 14:54:14,Vibration: 1 | X: 1344 | Y: 1277 | Z: 1555 | Status: ACTIVE,1,Vibration: 0 | X: 1844 | Y: 1575 | Z: 1389 | Status: ACTIVE,0
2025-09-14 14:54:15,Vibration: 1 | X: 1427 | Y: 1390 | Z: 1297 | Status: ACTIVE,1,Vibration: 1 | X: 1856 | Y: 1555 | Z: 1405 | Status: ACTIVE,1
2025-09-14 14:54:17,Vibration: 1 | X: 1567 | Y: 1328 | Z: 1374 | Status: ACTIVE,1,Vibration: 1 | X: 1911 | Y: 1535 | Z: 1425 | Status: ACTIVE,1
2025-09-14 14:54:18,Vibration: 1 | X: 1583 | Y: 1325 | Z: 1360 | Status: ACTIVE,1,Vibration: 1 | X: 1741 | Y: 1565 | Z: 1348 | Status: ACTIVE,1
2025-09-14 14:54:19,Vibration: 1 | X: 1562 | Y: 1314 | Z: 1387 | Status: ACTIVE,1,Vibration: 0 | X: 1821 | Y: 1535 | Z: 1388 | Status: ACTIVE,0
2025-09-14 14:54:21,Vibration: 1 | X: 1601 | Y: 1328 | Z: 1405 | Status: ACTIVE,1,Vibration: 1 | X: 1847 | Y: 1535 | Z: 1401 | Status: ACTIVE,1
2025-09-14 14:54:22,Vibration: 1 | X: 1670 | Y: 1309 | Z: 1392 | Status: ACTIVE,1,Vibration: 1 | X: 1782 | Y: 1570 | Z: 1376 | Status: ACTIVE,1
2025-09-14 14:54:23,Vibration: 1 | X: 1573 | Y: 1328 | Z: 1394 | Status: ACTIVE,1,Vibration: 1 | X: 1862 | Y: 1535 | Z: 1413 | Status: ACTIVE,1
2025-09-14 14:54:25,Vibration: 1 | X: 1555 | Y: 1315 | Z: 1392 | Status: ACTIVE,1,Vibration: 1 | X: 1861 | Y: 1523 | Z: 1421 | Status: ACTIVE,1
2025-09-14 14:54:26,Vibration: 1 | X: 1599 | Y: 1331 | Z: 1364 | Status: ACTIVE,1,Vibration: 1 | X: 1794 | Y: 1556 | Z: 1385 | Status: ACTIVE,1
2025-09-14 14:54:27,Vibration: 1 | X: 1602 | Y: 1317 | Z: 1408 | Status: ACTIVE,1,Vibration: 1 | X: 1846 | Y: 1533 | Z: 1400 | Status: ACTIVE,1
2025-09-14 14:54:28,Vibration: 0 | X: 1615 | Y: 1323 | Z: 1404 | Status: ACTIVE,0,Vibration: 1 | X: 1858 | Y: 1530 | Z: 1412 | Status: ACTIVE,1
2025-09-14 14:54:30,Vibration: 0 | X: 1609 | Y: 1328 | Z: 1402 | Status: ACTIVE,0,Vibration: 1 | X: 1858 | Y: 1535 | Z: 1409 | Status: ACTIVE,1
2025-09-14 14:54:31,Vibration: 1 | X: 1613 | Y: 1313 | Z: 1419 | Status: ACTIVE,1,Vibration: 1 | X: 1861 | Y: 1559 | Z: 1396 | Status: ACTIVE,1
2025-09-14 14:54:32,Vibration: 1 | X: 1653 | Y: 1305 | Z: 1427 | Status: ACTIVE,1,Vibration: 1 | X: 1744 | Y: 1581 | Z: 1369 | Status: ACTIVE,1
2025-09-14 14:54:34,Vibration: 1 | X: 1008 | Y: 1301 | Z: 1611 | Status: ACTIVE,1,Vibration: 0 | X: 1922 | Y: 1409 | Z: 1507 | Status: ACTIVE,0
2025-09-14 14:54:35,Vibration: 1 | X: 1008 | Y: 1301 | Z: 1611 | Status: ACTIVE,1,Vibration: 0 | X: 1995 | Y: 1489 | Z: 1453 | Status: ACTIVE,0
2025-09-14 14:54:36,Vibration: 1 | X: 1535 | Y: 1329 | Z: 1395 | Status: ACTIVE,1,Vibration: 1 | X: 1917 | Y: 1535 | Z: 1408 | Status: ACTIVE,1
2025-09-14 14:54:37,Vibration: 1 | X: 1583 | Y: 1303 | Z: 1445 | Status: ACTIVE,1,Vibration: 1 | X: 1693 | Y: 1535 | Z: 1349 | Status: ACTIVE,1
2025-09-14 14:54:39,Vibration: 1 | X: 1504 | Y: 1304 | Z: 1419 | Status: ACTIVE,1,Vibration: 1 | X: 1730 | Y: 1535 | Z: 1377 | Status: ACTIVE,1
2025-09-14 14:54:40,Vibration: 1 | X: 1247 | Y: 1293 | Z: 1497 | Status: ACTIVE,1,Vibration: 1 | X: 1936 | Y: 1441 | Z: 1493 | Status: ACTIVE,1
2025-09-14 14:54:41,Vibration: 1 | X: 1463 | Y: 1324 | Z: 1392 | Status: ACTIVE,1,Vibration: 1 | X: 1936 | Y: 1441 | Z: 1493 | Status: ACTIVE,1
2025-09-14 14:54:42,Vibration: 1 | X: 1244 | Y: 1296 | Z: 1642 | Status: ACTIVE,1,Vibration: 1 | X: 1926 | Y: 1490 | Z: 1454 | Status: ACTIVE,1
2025-09-14 14:54:43,Vibration: 1 | X: 2107 | Y: 1347 | Z: 1279 | Status: ACTIVE,1,Vibration: 0 | X: 1838 | Y: 1524 | Z: 1398 | Status: ACTIVE,0
2025-09-14 14:54:44,Vibration: 1 | X: 1605 | Y: 1333 | Z: 1392 | Status: ACTIVE,1,Vibration: 1 | X: 1841 | Y: 1535 | Z: 1409 | Status: ACTIVE,1
2025-09-14 14:54:46,Vibration: 1 | X: 1598 | Y: 1344 | Z: 1328 | Status: ACTIVE,1,Vibration: 1 | X: 1759 | Y: 1613 | Z: 1346 | Status: ACTIVE,1
2025-09-14 14:54:47,Vibration: 1 | X: 1487 | Y: 1355 | Z: 1379 | Status: ACTIVE,1,Vibration: 1 | X: 1749 | Y: 1495 | Z: 1422 | Status: ACTIVE,1
2025-09-14 14:54:48,Vibration: 1 | X: 1581 | Y: 1334 | Z: 1401 | Status: ACTIVE,1,Vibration: 1 | X: 1878 | Y: 1535 | Z: 1419 | Status: ACTIVE,1
2025-09-14 14:54:49,Vibration: 1 | X: 1590 | Y: 1296 | Z: 1466 | Status: ACTIVE,1,Vibration: 0 | X: 1784 | Y: 1497 | Z: 1414 | Status: ACTIVE,0
2025-09-14 14:54:50,Vibration: 1 | X: 1605 | Y: 1310 | Z: 1387 | Status: ACTIVE,1,Vibration: 1 | X: 1872 | Y: 1578 | Z: 1395 | Status: ACTIVE,1
2025-09-14 14:54:51,Vibration: 1 | X: 1879 | Y: 1141 | Z: 1653 | Status: ACTIVE,1,Vibration: 1 | X: 1937 | Y: 1535 | Z: 1435 | Status: ACTIVE,1
2025-09-14 14:54:53,Vibration: 1 | X: 1552 | Y: 1238 | Z: 1556 | Status: ACTIVE,1,Vibration: 1 | X: 1712 | Y: 1620 | Z: 1328 | Status: ACTIVE,1
2025-09-14 14:54:54,Vibration: 1 | X: 1601 | Y: 1292 | Z: 1451 | Status: ACTIVE,1,Vibration: 1 | X: 1777 | Y: 1706 | Z: 1326 | Status: ACTIVE,1
2025-09-14 14:54:55,Vibration: 1 | X: 1633 | Y: 1273 | Z: 1453 | Status: ACTIVE,1,Vibration: 0 | X: 1818 | Y: 1503 | Z: 1415 | Status: ACTIVE,0
2025-09-14 14:54:57,Vibration: 1 | X: 1438 | Y: 1339 | Z: 1402 | Status: ACTIVE,1,Vibration: 1 | X: 1625 | Y: 1472 | Z: 1392 | Status: ACTIVE,1
2025-09-14 14:54:58,Vibration: 1 | X: 1596 | Y: 1330 | Z: 1393 | Status: ACTIVE,1,Vibration: 1 | X: 1900 | Y: 1526 | Z: 1429 | Status: ACTIVE,1
2025-09-14 14:54:59,Vibration: 1 | X: 994 | Y: 1232 | Z: 1840 | Status: ACTIVE,1,Vibration: 1 | X: 1838 | Y: 1535 | Z: 1408 | Status: ACTIVE,1
2025-09-14 14:55:00,Vibration: 1 | X: 994 | Y: 1232 | Z: 1840 | Status: ACTIVE,1,Vibration: 0 | X: 1801 | Y: 1638 | Z: 1328 | Status: ACTIVE,0
2025-09-14 14:55:01,Vibration: 1 | X: 1614 | Y: 1328 | Z: 1393 | Status: ACTIVE,1,Vibration: 1 | X: 1846 | Y: 1567 | Z: 1408 | Status: ACTIVE,1
2025-09-14 14:55:03,Vibration: 1 | X: 1605 | Y: 1324 | Z: 1407 | Status: ACTIVE,1,Vibration: 1 | X: 1861 | Y: 1523 | Z: 1408 | Status: ACTIVE,1
2025-09-14 14:55:04,Vibration: 1 | X: 1289 | Y: 1248 | Z: 1632 | Status: ACTIVE,1,Vibration: 0 | X: 1979 | Y: 1481 | Z: 1472 | Status: ACTIVE,0
2025-09-14 14:55:05,Vibration: 1 | X: 1633 | Y: 1281 | Z: 1424 | Status: ACTIVE,1,Vibration: 0 | X: 1879 | Y: 1625 | Z: 1347 | Status: ACTIVE,0
2025-09-14 14:55:07,Vibration: 1 | X: 1599 | Y: 1309 | Z: 1391 | Status: ACTIVE,1,Vibration: 1 | X: 1858 | Y: 1499 | Z: 1425 | Status: ACTIVE,1
2025-09-14 14:55:08,Vibration: 1 | X: 1575 | Y: 1326 | Z: 1409 | Status: ACTIVE,1,Vibration: 0 | X: 1851 | Y: 1535 | Z: 1399 | Status: ACTIVE,0
2025-09-14 14:55:09,Vibration: 1 | X: 1614 | Y: 1321 | Z: 1410 | Status: ACTIVE,1,Vibration: 0 | X: 1831 | Y: 1535 | Z: 1392 | Status: ACTIVE,0
2025-09-14 14:55:11,Vibration: 1 | X: 1938 | Y: 1374 | Z: 1212 | Status: ACTIVE,1,Vibration: 1 | X: 2044 | Y: 1341 | Z: 1597 | Status: ACTIVE,1
2025-09-14 14:55:12,Vibration: 1 | X: 1656 | Y: 1322 | Z: 1387 | Status: ACTIVE,1,Vibration: 0 | X: 1771 | Y: 1479 | Z: 1407 | Status: ACTIVE,0
2025-09-14 14:55:13,Vibration: 1 | X: 1605 | Y: 1296 | Z: 1407 | Status: ACTIVE,1,Vibration: 0 | X: 1901 | Y: 1570 | Z: 1390 | Status: ACTIVE,0
2025-09-14 14:55:14,Vibration: 1 | X: 1628 | Y: 1296 | Z: 1408 | Status: ACTIVE,1,Vibration: 0 | X: 1779 | Y: 1559 | Z: 1365 | Status: ACTIVE,0
2025-09-14 14:55:16,Vibration: 1 | X: 1589 | Y: 1307 | Z: 1396 | Status: ACTIVE,1,Vibration: 1 | X: 2034 | Y: 1572 | Z: 1430 | Status: ACTIVE,1
